R:rachelle_base/magda_base,..!,COMPLETE/NOT UPLOADED
,The sky has split!,
L:Unknown Voice,> Interference detected... ENGINE boot-up process paused. ,
:if_dead_go_to; rachelle; 7,,
L:Unknown Voice,"> Welcome back, user 1701.0308051212",rachelle
:go_to; 9,,
L:Unknown Voice,"> Welcome back, user 130107.0401. ",magda
:go_to; 9,,
R:rachelle_base/magda_base,What?!,
L:Unknown Voice,>The ENGINE has consumed all extraneous organic matter to initiate REGENERATION.,
,>Would user like to designate simulation outcome?,
,>User can designate to return to a previous save state or create new save.  ,
,>Resulting biofuel from combustion state allows for one (1) new simulation before cycle renewal.,
R:rachelle_base/magda_base,What does that even mean?!,
L:Unknown Voice,>ERROR: Command not recognized. ,
,"Please state either 1, return save state, or 2, new save.",
R:rachelle_base/magda_base,I wanna go home. I don't want to deal with options. Can't I just go back?,
L:Unknown Voice,>ERROR: Command not recognized. ,
,"Please state either 1, return save state, or 2, new save.",
R:rachelle_base/magda_base,?!,
,"One, I guess?",
L:Unknown Voice,Command recognized. Initiating REGENERATION protocol. ,
,Reverting planet state at 000000000000000000.00:00 system time.,
R:rachelle_base/magda_base,What happens now? What are--,
X,,